Item                          ,Total                         ,Used                          ,Free                          
flash                         ,970752                        ,661996                        ,308756                        
sram_bt                       ,16384                         ,15856                         ,528                           
sram                          ,393216                        ,266172                        ,127044                        
