Item                          ,Total                         ,Used                          ,Free                          
flash                         ,970752                        ,760676                        ,210076                        
sram_bt                       ,16384                         ,15856                         ,528                           
sram                          ,393216                        ,299548                        ,93668                         
