Item                          ,Total                         ,Used                          ,Free                          
flash                         ,970752                        ,662004                        ,308748                        
sram_bt                       ,16384                         ,15856                         ,528                           
sram                          ,393216                        ,266172                        ,127044                        
