Item                          ,Total                         ,Used                          ,Free                          
flash                         ,970752                        ,764012                        ,206740                        
sram_bt                       ,16384                         ,15856                         ,528                           
sram                          ,393216                        ,300412                        ,92804                         
