Item                          ,Total                         ,Used                          ,Free                          
flash                         ,970752                        ,751904                        ,218848                        
sram_bt                       ,16384                         ,15856                         ,528                           
sram                          ,393216                        ,317820                        ,75396                         
